Id,ActivityHour,StepTotal,TotalIntensity,AverageIntensity,Calories
1503960366,2016-04-12T14:00:00Z,1166,36,0.6,110
1503960366,2016-04-12T15:00:00Z,2063,58,0.966667,151
1503960366,2016-04-12T19:00:00Z,558,39,0.65,104
1503960366,2016-04-12T20:00:00Z,1733,41,0.683333,132
1503960366,2016-04-13T14:00:00Z,1577,46,0.766667,128
1503960366,2016-04-13T23:00:00Z,1766,56,0.933333,135
1503960366,2016-04-14T13:00:00Z,1779,54,0.9,137
1503960366,2016-04-14T21:00:00Z,2670,57,0.95,174
1503960366,2016-04-15T17:00:00Z,1774,47,0.783333,140
1503960366,2016-04-15T22:00:00Z,2145,66,1.1,151
1503960366,2016-04-15T23:00:00Z,2768,95,1.583333,182
1503960366,2016-04-16T09:00:00Z,1181,38,0.633333,124
1503960366,2016-04-16T12:00:00Z,1513,42,0.7,119
1503960366,2016-04-16T13:00:00Z,3616,90,1.5,214
1503960366,2016-04-17T17:00:00Z,2613,71,1.183333,174
1503960366,2016-04-17T18:00:00Z,1616,39,0.65,136
1503960366,2016-04-17T20:00:00Z,2955,87,1.45,191
1503960366,2016-04-18T09:00:00Z,1688,39,0.65,133
1503960366,2016-04-18T12:00:00Z,1306,40,0.666667,118
1503960366,2016-04-18T18:00:00Z,4074,114,1.9,234
1503960366,2016-04-19T08:00:00Z,1656,38,0.633333,130
1503960366,2016-04-19T12:00:00Z,1887,61,1.016667,143
1503960366,2016-04-19T13:00:00Z,2697,65,1.083333,171
1503960366,2016-04-19T20:00:00Z,2487,69,1.15,159
1503960366,2016-04-19T23:00:00Z,1369,48,0.8,120
1503960366,2016-04-20T09:00:00Z,1993,50,0.833333,144
1503960366,2016-04-20T14:00:00Z,1270,39,0.65,113
1503960366,2016-04-20T19:00:00Z,1558,36,0.6,117
1503960366,2016-04-21T20:00:00Z,3541,92,1.533333,213
1503960366,2016-04-22T21:00:00Z,5934,159,2.65,311
1503960366,2016-04-22T23:00:00Z,1925,54,0.9,136
1503960366,2016-04-23T12:00:00Z,1597,49,0.816667,129
1503960366,2016-04-23T13:00:00Z,1453,51,0.85,129
1503960366,2016-04-23T16:00:00Z,2008,52,0.866667,140
1503960366,2016-04-23T18:00:00Z,2569,66,1.1,173
1503960366,2016-04-23T21:00:00Z,2432,54,0.9,162
1503960366,2016-04-24T18:00:00Z,911,40,0.666667,115
