Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,2016-04-12T14:00:00Z,36,0.6
1503960366,2016-04-12T15:00:00Z,58,0.966667
1503960366,2016-04-12T19:00:00Z,39,0.65
1503960366,2016-04-12T20:00:00Z,41,0.683333
1503960366,2016-04-13T14:00:00Z,46,0.766667
1503960366,2016-04-13T23:00:00Z,56,0.933333
1503960366,2016-04-14T13:00:00Z,54,0.9
1503960366,2016-04-14T21:00:00Z,57,0.95
1503960366,2016-04-15T17:00:00Z,47,0.783333
1503960366,2016-04-15T22:00:00Z,66,1.1
1503960366,2016-04-15T23:00:00Z,95,1.583333
1503960366,2016-04-16T09:00:00Z,38,0.633333
1503960366,2016-04-16T12:00:00Z,42,0.7
1503960366,2016-04-16T13:00:00Z,90,1.5
1503960366,2016-04-17T17:00:00Z,71,1.183333
1503960366,2016-04-17T18:00:00Z,39,0.65
1503960366,2016-04-17T20:00:00Z,87,1.45
1503960366,2016-04-18T09:00:00Z,39,0.65
1503960366,2016-04-18T12:00:00Z,40,0.666667
1503960366,2016-04-18T18:00:00Z,114,1.9
1503960366,2016-04-19T08:00:00Z,38,0.633333
1503960366,2016-04-19T12:00:00Z,61,1.016667
1503960366,2016-04-19T13:00:00Z,65,1.083333
1503960366,2016-04-19T20:00:00Z,69,1.15
1503960366,2016-04-19T23:00:00Z,48,0.8
1503960366,2016-04-20T09:00:00Z,50,0.833333
1503960366,2016-04-20T14:00:00Z,39,0.65
1503960366,2016-04-20T19:00:00Z,36,0.6
1503960366,2016-04-21T20:00:00Z,92,1.533333
1503960366,2016-04-22T21:00:00Z,159,2.65
1503960366,2016-04-22T23:00:00Z,54,0.9
1503960366,2016-04-23T12:00:00Z,49,0.816667
1503960366,2016-04-23T13:00:00Z,51,0.85
1503960366,2016-04-23T16:00:00Z,52,0.866667
1503960366,2016-04-23T18:00:00Z,66,1.1
1503960366,2016-04-23T21:00:00Z,54,0.9
1503960366,2016-04-24T18:00:00Z,40,0.666667
1503960366,2016-04-24T19:00:00Z,131,2.183333
1503960366,2016-04-25T09:00:00Z,46,0.766667
1503960366,2016-04-25T19:00:00Z,86,1.433333
1503960366,2016-04-25T21:00:00Z,132,2.2
1503960366,2016-04-26T13:00:00Z,42,0.7
1503960366,2016-04-26T14:00:00Z,60,1.0
1503960366,2016-04-26T18:00:00Z,72,1.2
1503960366,2016-04-27T14:00:00Z,35,0.583333
1503960366,2016-04-27T18:00:00Z,73,1.216667
1503960366,2016-04-27T19:00:00Z,150,2.5
1503960366,2016-04-27T20:00:00Z,70,1.166667
1503960366,2016-04-28T09:00:00Z,38,0.633333
1503960366,2016-04-28T14:00:00Z,47,0.783333
1503960366,2016-04-28T18:00:00Z,56,0.933333
1503960366,2016-04-28T20:00:00Z,50,0.833333
1503960366,2016-04-28T23:00:00Z,48,0.8
1503960366,2016-04-29T14:00:00Z,56,0.933333
1503960366,2016-04-29T23:00:00Z,56,0.933333
1503960366,2016-04-30T16:00:00Z,99,1.65
1503960366,2016-04-30T17:00:00Z,55,0.916667
1503960366,2016-04-30T18:00:00Z,71,1.183333
1503960366,2016-04-30T22:00:00Z,47,0.783333
1503960366,2016-05-01T18:00:00Z,70,1.166667
1503960366,2016-05-01T22:00:00Z,50,0.833333
1503960366,2016-05-01T23:00:00Z,76,1.266667
1503960366,2016-05-02T12:00:00Z,64,1.066667
1503960366,2016-05-02T20:00:00Z,105,1.75
1503960366,2016-05-03T15:00:00Z,46,0.766667
1503960366,2016-05-03T18:00:00Z,86,1.433333
1503960366,2016-05-03T21:00:00Z,37,0.616667
1503960366,2016-05-03T22:00:00Z,58,0.966667
1503960366,2016-05-04T14:00:00Z,67,1.116667
1503960366,2016-05-04T18:00:00Z,62,1.033333
1503960366,2016-05-04T21:00:00Z,39,0.65
1503960366,2016-05-05T17:00:00Z,70,1.166667
1503960366,2016-05-05T21:00:00Z,113,1.883333
1503960366,2016-05-06T19:00:00Z,55,0.916667
1503960366,2016-05-06T23:00:00Z,52,0.866667
1503960366,2016-05-07T10:00:00Z,46,0.766667
1503960366,2016-05-07T11:00:00Z,59,0.983333
1503960366,2016-05-07T21:00:00Z,61,1.016667
1503960366,2016-05-07T22:00:00Z,108,1.8
1503960366,2016-05-08T18:00:00Z,115,1.916667
1503960366,2016-05-08T19:00:00Z,36,0.6
1503960366,2016-05-09T16:00:00Z,75,1.25
1503960366,2016-05-09T17:00:00Z,37,0.616667
1503960366,2016-05-09T19:00:00Z,39,0.65
1503960366,2016-05-09T20:00:00Z,43,0.716667
1503960366,2016-05-09T21:00:00Z,73,1.216667
1503960366,2016-05-10T11:00:00Z,35,0.583333
1503960366,2016-05-10T15:00:00Z,36,0.6
1503960366,2016-05-10T18:00:00Z,69,1.15
1503960366,2016-05-10T19:00:00Z,51,0.85
1503960366,2016-05-10T20:00:00Z,73,1.216667
1503960366,2016-05-11T14:00:00Z,52,0.866667
1503960366,2016-05-11T18:00:00Z,102,1.7
1503960366,2016-05-11T20:00:00Z,42,0.7
